ISSN,PMID
1871-5192,36754668
1871-5192,36740477
1871-5192,36697285
1871-5192,36682951
1871-5192,36682950
1871-5192,36669903
1871-5192,36642558
1871-5192,36631386
1871-5192,36604197
1871-5192,36599783
1871-5192,36588046
1871-5192,36577648
1871-5192,36572593
1871-5192,36526542
1871-5192,36513567
1871-5192,36494305
1871-5192,36473798
1871-5192,36473797
1871-5192,36464597
1871-5192,36460560
1871-5192,36456446
1871-5192,36446715
1871-5192,36443218
1871-5192,36443217
1871-5192,36437150
1871-5192,36414496
1871-5192,36396564
1871-5192,36376224
1871-5192,36344389
1871-5192,36336569
1871-5192,36266178
1871-5192,36253282
1871-5192,36229349
1871-5192,36216723
1871-5192,36208992
1871-5192,36184532
1871-5192,36175297
1871-5192,36154793
1871-5192,36154792
1871-5192,36137931
1871-5192,36127283
1871-5192,36127282
1871-5192,36109291
1871-5192,36089498
1871-5192,36050269
1871-5192,36038477
1871-5192,35987732
1871-5192,35973917
1871-5192,35963836
1871-5192,35941059
1871-5192,35941058
1871-5192,35934615
1871-5192,35927213
1871-5192,35927212
1871-5192,35927211
1871-5192,35922250
1871-5192,35918279
1871-5192,35902344
1871-5192,35869010
1871-5192,35869009
1871-5192,35840537
1871-5192,35803869
1871-5192,35798661
1871-5192,35792035
1871-5192,35778334
1871-5192,35764492
1871-5192,35753996
1871-5192,35750578
1871-5192,35739017
1871-5192,35717372
1871-5192,35697608
1871-5192,35641395
1871-5192,35610171
1871-5192,35610170
1871-5192,35577678
1871-5192,35568665
1871-5192,35550121
1871-5192,35527196
1871-5192,35523705
1871-5192,35514007
1871-5192,35504815
1871-5192,35491383
1871-5192,35490090
1871-5192,35487864
1871-5192,35461800
1871-5192,35450797
1871-5192,35440427
1871-5192,35431173
1871-5192,35430187
1871-5192,35430186
1871-5192,35422406
1871-5192,35410849
1871-5192,35410848
1871-5192,35400605
1871-5192,35339413
1871-5192,35339412
1871-5192,35339411
1871-5192,35337789
1871-5192,35331668
1871-5192,35307300
1871-5192,35305917
1871-5192,35288036
1871-5192,35277369
1871-5192,35248498
1871-5192,35216938
1871-5192,35197224
1871-5192,35190295
1871-5192,35183474
1871-5192,35181239
1871-5192,35181238
1871-5192,35165046
1871-5192,35165045
1871-5192,35153152
1871-5192,35123922
1871-5192,35115246
1871-5192,35115245
1871-5192,35090856
1871-5192,35078743
1871-5192,35078742
1871-5192,35074303
1871-5192,35067458
1871-5192,35058191
1871-5192,35012885
1871-5192,34996727
1871-5192,34972660
1871-5192,34969637
0969-7330,37522482
0969-7330,37496291
0969-7330,37493023
0969-7330,37459590
0969-7330,37428123
0969-7330,37420337
0969-7330,37415349
0969-7330,37403622
0969-7330,37357944
0969-7330,37326119
0969-7330,37308448
0969-7330,37306294
0969-7330,37294658
0969-7330,37279518
0969-7330,37260020
0969-7330,37257852
0969-7330,37257094
0969-7330,37247413
0969-7330,37247410
0969-7330,37246774
0969-7330,37243604
0969-7330,37231593
0969-7330,37230743
0969-7330,37226471
0969-7330,37200623
0969-7330,37195896
0969-7330,37192753
0969-7330,37192663
0969-7330,37183300
0969-7330,37170403
0969-7330,37167964
0969-7330,37163482
0969-7330,37161665
0969-7330,37159933
0969-7330,37141428
0969-7330,37057588
0969-7330,37026403
0969-7330,36999769
0969-7330,36989456
0969-7330,36988002
0969-7330,36975048
0969-7330,36974633
0969-7330,36971185
0969-7330,36935448
0969-7330,36927231
0969-7330,36921625
0969-7330,36920799
0969-7330,36919260
0969-7330,36914587
0969-7330,36888729
0969-7330,36877536
0969-7330,36843366
0969-7330,36841931
0969-7330,36829119
0969-7330,36740594
0969-7330,36740593
0969-7330,36735277
0969-7330,36730007
0969-7330,36724457
0969-7330,36715421
0969-7330,36708361
0969-7330,36705633
0969-7330,36704986
0969-7330,36688269
0969-7330,36594365
0969-7330,36594363
0969-7330,36550749
0969-7330,36545935
0969-7330,36545793
0969-7330,36536511
0969-7330,36476080
0969-7330,36376252
0969-7330,36376251
0969-7330,36318470
0969-7330,36316227
0969-7330,36314501
0969-7330,36314258
0969-7330,36314069
0969-7330,36287031
0969-7330,36286509
0969-7330,36282515
0969-7330,36278419
0969-7330,36266990
0969-7330,36260872
0969-7330,36259494
0969-7330,36250534
0969-7330,36241186
0969-7330,36207762
0969-7330,36206197
0969-7330,36201553
0969-7330,36200369
0969-7330,36036774
0969-7330,35801831
0969-7330,35801828
0969-7330,35801307
0969-7330,35798543
0969-7330,35786045
0969-7330,35773019
0969-7330,35763377
0969-7330,35759685
0969-7330,35758866
0969-7330,35734979
0969-7330,35730540
0969-7330,35730358
0969-7330,35726836
0969-7330,35724326
0969-7330,35723264
0969-7330,35622018
0969-7330,35620832
0969-7330,35575202
0969-7330,35546315
0029-6554,37524000
0029-6554,37494843
0029-6554,37487769
0029-6554,37487421
0029-6554,37481350
0029-6554,37481349
0029-6554,37481348
0029-6554,37480602
0029-6554,37480601
0029-6554,37479636
0029-6554,37467652
0029-6554,37454624
0029-6554,37429154
0029-6554,37423687
0029-6554,37423686
0029-6554,37423685
0029-6554,37421939
0029-6554,37365080
0029-6554,37349232
0029-6554,37343483
0029-6554,37336170
0029-6554,37329590
0029-6554,37302261
0029-6554,37302260
0029-6554,37302259
0029-6554,37302258
0029-6554,37300980
0029-6554,37207516
0029-6554,37173158
0029-6554,37156190
0029-6554,37126868
0029-6554,37104889
0029-6554,37100483
0029-6554,37100482
0029-6554,37076325
0029-6554,37054498
0029-6554,37043973
0029-6554,37023671
0029-6554,37023670
0029-6554,37018965
0029-6554,37004352
0029-6554,37003090
0029-6554,37003089
0029-6554,37003088
0029-6554,36989569
0029-6554,36966674
0029-6554,36965357
0029-6554,36963372
0029-6554,36958117
0029-6554,36947975
0029-6554,36947974
0029-6554,36924597
0029-6554,36842839
0029-6554,36801609
0029-6554,36801608
0029-6554,36736029
0029-6554,36690529
0029-6554,36690528
0029-6554,36681563
0029-6554,36681562
0029-6554,36669933
0029-6554,36669932
0029-6554,36642640
0029-6554,36641315
0029-6554,36639254
0029-6554,36631306
0029-6554,36623985
0029-6554,36623984
0029-6554,36621418
0029-6554,36621417
0029-6554,36599713
0029-6554,36599712
0029-6554,36588045
0029-6554,36588044
0029-6554,36588043
0029-6554,36588042
0029-6554,36588041
0029-6554,36588040
0029-6554,36588039
0029-6554,36585064
0029-6554,36585063
0029-6554,36585062
0029-6554,36585061
0029-6554,36585060
0029-6554,36585059
0029-6554,36585058
0029-6554,36585057
0029-6554,36585056
0029-6554,36503698
0029-6554,36503697
0029-6554,36446543
0029-6554,36446542
0029-6554,36446541
0029-6554,36446540
0029-6554,36446539
0029-6554,36446538
0029-6554,36446537
0029-6554,36446536
0029-6554,36404158
0029-6554,36400579
0029-6554,36400578
0029-6554,36400577
0029-6554,36396504
0029-6554,36396503
0029-6554,36396502
0029-6554,36396501
0029-6554,36396500
0029-6554,36396499
0029-6554,36369108
0029-6554,36175179
0029-6554,36154775
0029-6554,36154773
0029-6554,36154772
0029-6554,36085060
0029-6554,35504756
0029-6554,35459534
1036-7314,37455212
1036-7314,37455211
1036-7314,37455210
1036-7314,37438182
1036-7314,37391287
1036-7314,37391286
1036-7314,37385895
1036-7314,37339922
1036-7314,37339921
1036-7314,37328221
1036-7314,37321882
1036-7314,37316370
1036-7314,37286446
1036-7314,37280136
1036-7314,37263903
1036-7314,37263902
1036-7314,37230828
1036-7314,37210306
1036-7314,37198003
1036-7314,37173167
1036-7314,37169654
1036-7314,37164889
1036-7314,37164888
1036-7314,37160405
1036-7314,37121629
1036-7314,37121628
1036-7314,37120336
1036-7314,37076387
1036-7314,37059632
1036-7314,37055244
1036-7314,37028974
1036-7314,37005210
1036-7314,37003849
1036-7314,37002019
1036-7314,36948918
1036-7314,36934046
1036-7314,36934045
1036-7314,36934044
1036-7314,36906429
1036-7314,36872100
1036-7314,36868934
1036-7314,36868933
1036-7314,36863951
1036-7314,36858860
1036-7314,36842838
1036-7314,36842837
1036-7314,36822978
1036-7314,36813654
1036-7314,36809868
1036-7314,36806392
1036-7314,36775675
1036-7314,36774294
1036-7314,36774293
1036-7314,36774292
1036-7314,36759272
1036-7314,36737263
1036-7314,36732156
1036-7314,36697120
1036-7314,36635184
1036-7314,36621344
1036-7314,36610945
1036-7314,36604268
1036-7314,36604267
1036-7314,36604266
1036-7314,36581506
1036-7314,36577616
1036-7314,36577615
1036-7314,36572576
1036-7314,36572575
1036-7314,36567209
1036-7314,36522246
1036-7314,36517331
1036-7314,36496332
1036-7314,36496331
1036-7314,36470778
1036-7314,36470777
1036-7314,36470776
1036-7314,36470775
1036-7314,36470774
1036-7314,36464526
1036-7314,36464525
1036-7314,36464524
1036-7314,36464523
1036-7314,36460589
1036-7314,36456425
1036-7314,36443169
1036-7314,36437164
1036-7314,36437163
1036-7314,36404269
1036-7314,36404268
1036-7314,36400625
1036-7314,36379838
1036-7314,36376190
1036-7314,36371294
1036-7314,36371293
1036-7314,36371292
1036-7314,36371291
1036-7314,36369176
1036-7314,36351854
1036-7314,36333190
1036-7314,36244918
1036-7314,36210282
1036-7314,36210281
1036-7314,36210280
1036-7314,36182541
1036-7314,36182540
1036-7314,36163120
1036-7314,36137875
1036-7314,36123237
1036-7314,36117039
1036-7314,36114097
1036-7314,36104256
1036-7314,36096922
1036-7314,36096921
1036-7314,36089461
1036-7314,36041982
1036-7314,36041981
1036-7314,36038459
1036-7314,35851194
1036-7314,35843808
1036-7314,35842332
1036-7314,35835654
1036-7314,35820985
1036-7314,35810078
1036-7314,35810077
1036-7314,35787817
1036-7314,35732556
1036-7314,35718628
1036-7314,35718627
1036-7314,35688696
1036-7314,35618612
1036-7314,35618611
1036-7314,35613982
1036-7314,35610091
1036-7314,35610090
1036-7314,35595665
1036-7314,35581045
1036-7314,35525809
1036-7314,35513998
1036-7314,35501199
1036-7314,35490111
1036-7314,35490110
1036-7314,35490109
1036-7314,35490108
1036-7314,35487862
1036-7314,35484072
1036-7314,35428553
1036-7314,35370060
1036-7314,35361553
1036-7314,35341669
1036-7314,35341668
1036-7314,35341667
1036-7314,35305896
1036-7314,35277303
1036-7314,35272911
1036-7314,35272910
1036-7314,35272909
1036-7314,35246356
1036-7314,35232616
1036-7314,35221230
1036-7314,35210156
1036-7314,35197209
1036-7314,35183430
1036-7314,35177342
1036-7314,35177341
1036-7314,35144889
1036-7314,35135715
1036-7314,35058119
1036-7314,35016842
1036-7314,34991951
1036-7314,34980521
1036-7314,34972619
1036-7314,34955332
1036-7314,34953635
1036-7314,34930648
1036-7314,34924248
1036-7314,34924247
1036-7314,34916149
1036-7314,34903433
1036-7314,34895985
1036-7314,34895984
1036-7314,34862110
1036-7314,34857440
1036-7314,34848121
1036-7314,34844837
1036-7314,34802842
1036-7314,34711495
1036-7314,34711493
1472-6955,37525135
1472-6955,37507706
1472-6955,37507695
1472-6955,37501104
1472-6955,37501062
1472-6955,37496059
1472-6955,37496016
1472-6955,37496003
1472-6955,37496000
1472-6955,37495998
1472-6955,37491252
1472-6955,37454074
1472-6955,37434167
1472-6955,37430288
1472-6955,37430210
1472-6955,37420222
1472-6955,37420220
1472-6955,37420204
1472-6955,37403055
1472-6955,37400825
1472-6955,37400816
1472-6955,37400810
1472-6955,37400809
1472-6955,37394472
1472-6955,37391811
1472-6955,37391761
1472-6955,37391749
1472-6955,37386470
1472-6955,37370124
1472-6955,37370120
1472-6955,37370085
1472-6955,37370072
1472-6955,37365591
1472-6955,37357312
1472-6955,37355649
1472-6955,37355622
1472-6955,37340432
1472-6955,37340394
1472-6955,37340373
1472-6955,37337228
1472-6955,37337191
1472-6955,37337180
1472-6955,37332015
1472-6955,37328774
1472-6955,37328758
1472-6955,37322498
1472-6955,37322487
1472-6955,37322484
1472-6955,37316872
1472-6955,37312197
1472-6955,37312185
1472-6955,37312143
1472-6955,37312129
1472-6955,37303039
1472-6955,37296419
1472-6955,37291597
1472-6955,37291559
1472-6955,37291521
1472-6955,37286987
1472-6955,37286976
1472-6955,37277836
1472-6955,37277787
1472-6955,37277753
1472-6955,37277750
1472-6955,37268973
1472-6955,37259086
1472-6955,37248500
1472-6955,37248491
1472-6955,37246222
1472-6955,37237367
1472-6955,37231474
1472-6955,37231400
1472-6955,37221496
1472-6955,37221483
1472-6955,37217937
1472-6955,37217922
1472-6955,37211603
1472-6955,37208756
1472-6955,37208727
1472-6955,37208704
1472-6955,37202768
1472-6955,37202759
1472-6955,37198631
1472-6955,37198627
1472-6955,37198598
1472-6955,37198571
1472-6955,37198570
1472-6955,37193966
1472-6955,37189179
1472-6955,37189147
1472-6955,37189144
1472-6955,37183255
1472-6955,37165374
1472-6955,37158930
1472-6955,37158863
1472-6955,37149652
1472-6955,37149599
1472-6955,37147679
1472-6955,37147627
1472-6955,37147626
1472-6955,37147580
1472-6955,37143072
1472-6955,37143045
1472-6955,37143032
1472-6955,37138310
1472-6955,37118749
1472-6955,37106421
1472-6955,37106408
1472-6955,37106389
1472-6955,37106369
1472-6955,37106366
1472-6955,37101256
1472-6955,37101145
1472-6955,37098564
1472-6955,37098520
1472-6955,37098504
1472-6955,37095477
1472-6955,37088853
1472-6955,37088834
1472-6955,37087430
1472-6955,37076918
1472-6955,37072846
1472-6955,37072844
1472-6955,37072840
1472-6955,37072792
1472-6955,37072761
1472-6955,37069647
1472-6955,37061735
1472-6955,37061670
1472-6955,37059999
1472-6955,37059992
1472-6955,37055828
1472-6955,37055815
1472-6955,37055757
1472-6955,37046318
1472-6955,37046282
1472-6955,37046274
1472-6955,37046264
1472-6955,37046234
1472-6955,37041535
1472-6955,37038179
1472-6955,37038115
1472-6955,37032331
1472-6955,37029388
1472-6955,37029387
1472-6955,37029380
1472-6955,37029375
1472-6955,37029367
1472-6955,37024924
1472-6955,37024915
1472-6955,37024886
1472-6955,37024881
1472-6955,37024875
1472-6955,37024874
1472-6955,37024855
1472-6955,37016389
1472-6955,37016385
1472-6955,37013600
1472-6955,37004086
1472-6955,37004063
1472-6955,37004029
1472-6955,37004017
1472-6955,36997960
1472-6955,36997958
1472-6955,36997911
1472-6955,36991433
1472-6955,36991388
1472-6955,36973798
1472-6955,36964586
1472-6955,36964581
1472-6955,36964551
1472-6955,36959626
1472-6955,36949475
1472-6955,36949466
1472-6955,36949449
1472-6955,36945007
1472-6955,36941635
1472-6955,36935508
1472-6955,36935483
1472-6955,36934280
1472-6955,36934267
1472-6955,36927540
1472-6955,36922849
1472-6955,36915072
1472-6955,36907852
1472-6955,36899351
1472-6955,36899341
1472-6955,36894974
1472-6955,36890555
1472-6955,36879268
1472-6955,36869346
1472-6955,36869338
1472-6955,36869327
1472-6955,36869297
1472-6955,36864420
1472-6955,36859174
1472-6955,36842970
1472-6955,36841817
1472-6955,36841780
1472-6955,36829195
1472-6955,36823629
1472-6955,36823533
1472-6955,36814264
1472-6955,36814263
1472-6955,36805691
1472-6955,36803401
1472-6955,36797713
1472-6955,36797711
1472-6955,36797701
1472-6955,36788572
1472-6955,36788549
1472-6955,36782215
1472-6955,36782195
1472-6955,36765330
1472-6955,36759906
1472-6955,36750959
1472-6955,36750943
1472-6955,36747213
1472-6955,36747192
1472-6955,36747180
1472-6955,36739408
1472-6955,36737747
1472-6955,36732804
1472-6955,36732753
1472-6955,36721150
1472-6955,36710343
1472-6955,36707801
1472-6955,36698171
1472-6955,36698105
1472-6955,36691022
1472-6955,36691018
1472-6955,36681844
1472-6955,36650463
1472-6955,36647109
1472-6955,36639785
1472-6955,36639639
1472-6955,36639630
1472-6955,36635754
1472-6955,36635750
1472-6955,36631864
1472-6955,36631856
1472-6955,36631763
1472-6955,36627628
1472-6955,36624447
1472-6955,36624445
1472-6955,36609259
1472-6955,36604678
1472-6955,36600231
1472-6955,36600228
1472-6955,36600211
1472-6955,36597119
1472-6955,36585739
1472-6955,36585661
1472-6955,36581879
1472-6955,36581873
1472-6955,36577980
1472-6955,36575411
1472-6955,36572930
1472-6955,36572907
1472-6955,36572892
1472-6955,36564785
1472-6955,36550533
1472-6955,36550512
1472-6955,36544166
1472-6955,36544154
1472-6955,36536429
1472-6955,36536398
1472-6955,36528770
1472-6955,36527062
1472-6955,36527026
1472-6955,36526985
1472-6955,36517826
1472-6955,36514031
1472-6955,36510296
1472-6955,36510228
1472-6955,36510164
1472-6955,36503477
1472-6955,36496370
1472-6955,36494850
1472-6955,36494679
1472-6955,36482463
1472-6955,36476610
1472-6955,36476490
1472-6955,36476375
1472-6955,36474248
1472-6955,36471361
1472-6955,36471310
1472-6955,36464687
1472-6955,36463204
1472-6955,36461075
1472-6955,36461043
1472-6955,36461000
1472-6955,36457042
1472-6955,36457014
1472-6955,36447251
1472-6955,36447217
1472-6955,36447215
1472-6955,36447167
1472-6955,36443851
1472-6955,36443791
1472-6955,36443771
1472-6955,36437448
1472-6955,36434639
1472-6955,36434602
1472-6955,36434594
1472-6955,36419158
1472-6955,36419144
1472-6955,36419129
1472-6955,36419116
1472-6955,36419082
1472-6955,36419037
1472-6955,36384544
1472-6955,36384513
1472-6955,36380309
1472-6955,36380297
1472-6955,36376904
1472-6955,36376893
1472-6955,36376834
1472-6955,36357907
1472-6955,36357884
1472-6955,36357881
1472-6955,36352444
1472-6955,36352405
1472-6955,36352386
1472-6955,36348485
1472-6955,36348475
1472-6955,36348425
1472-6955,36348419
1472-6955,36345000
1472-6955,36335322
1472-6955,36333812
1472-6955,36333750
1472-6955,36324181
1472-6955,36324125
1472-6955,36324117
1472-6955,36324102
1472-6955,36319970
1472-6955,36316741
1472-6955,36316739
1472-6955,36316738
1472-6955,36316710
0147-9563,37517182
0147-9563,37517181
0147-9563,37499548
0147-9563,37480723
0147-9563,37479537
0147-9563,37437505
0147-9563,37399777
0147-9563,37379634
0147-9563,37364368
0147-9563,37354583
0147-9563,37348212
0147-9563,37348211
0147-9563,37327614
0147-9563,37311360
0147-9563,37307654
0147-9563,37302264
0147-9563,37302263
0147-9563,37295187
0147-9563,37295186
0147-9563,37290991
0147-9563,37290139
0147-9563,37290138
0147-9563,37290136
0147-9563,37285766
0147-9563,37271106
0147-9563,37269615
0147-9563,37263145
0147-9563,37247539
0147-9563,37247538
0147-9563,37247537
0147-9563,37209537
0147-9563,37196385
0147-9563,37187106
0147-9563,37167901
0147-9563,37164840
0147-9563,37156061
0147-9563,37156060
0147-9563,37150046
0147-9563,37148815
0147-9563,37148814
0147-9563,37127445
0147-9563,37127444
0147-9563,37127443
0147-9563,37126872
0147-9563,37087896
0147-9563,37085438
0147-9563,37085437
0147-9563,37085436
0147-9563,37084465
0147-9563,37059045
0147-9563,37059044
0147-9563,37055241
0147-9563,37045735
0147-9563,37023581
0147-9563,37019695
0147-9563,37019694
0147-9563,37018902
0147-9563,37012126
0147-9563,36997460
0147-9563,36996756
0147-9563,36996755
0147-9563,36990855
0147-9563,36965283
0147-9563,36947933
0147-9563,36947932
0147-9563,36934476
0147-9563,36934475
0147-9563,36933287
0147-9563,36931009
0147-9563,36924606
0147-9563,36921548
0147-9563,36914550
0147-9563,36913902
0147-9563,36905754
0147-9563,36898280
0147-9563,36878810
0147-9563,36878105
0147-9563,36878104
0147-9563,36878103
0147-9563,36871407
0147-9563,36868093
0147-9563,36863990
0147-9563,36863123
0147-9563,36858643
0147-9563,36842342
0147-9563,36841013
0147-9563,36828764
0147-9563,36827715
0147-9563,36805258
0147-9563,36805256
0147-9563,36801548
0147-9563,36801547
0147-9563,36801546
0147-9563,36801545
0147-9563,36801544
0147-9563,36801137
0147-9563,36797141
0147-9563,36796249
0147-9563,36796248
0147-9563,36781363
0147-9563,36773441
0147-9563,36773440
0147-9563,36739643
0147-9563,36739642
0147-9563,36724589
0147-9563,36724588
0147-9563,36710218
0147-9563,36709529
0147-9563,36706686
0147-9563,36702716
0147-9563,36669444
0147-9563,36669443
0147-9563,36669442
0147-9563,36642001
0147-9563,36638763
0147-9563,36635164
0147-9563,36623443
0147-9563,36621104
0147-9563,36621103
0147-9563,36609121
0147-9563,36599799
0147-9563,36587994
0147-9563,36587561
0147-9563,36571977
0147-9563,36567171
0147-9563,36535132
0147-9563,36535131
0147-9563,36528389
0147-9563,36525742
0147-9563,36521397
0147-9563,36516608
0147-9563,36516532
0147-9563,36512879
0147-9563,36508845
0147-9563,36495674
0147-9563,36494216
0147-9563,36493523
0147-9563,36473808
0147-9563,36460519
0147-9563,36456378
0147-9563,36455422
0147-9563,36446264
0147-9563,36446263
0147-9563,36434827
0147-9563,36434826
0147-9563,36423504
0147-9563,36410155
0147-9563,36403555
0147-9563,36402118
0147-9563,36400632
0147-9563,36399862
0147-9563,36376137
0147-9563,36375396
0147-9563,36372061
0147-9563,36372060
0147-9563,36343565
0147-9563,36335910
0147-9563,36335909
0147-9563,36334466
0147-9563,36332353
0147-9563,36332352
0147-9563,36332351
0147-9563,36332350
0147-9563,36332349
0147-9563,36332348
0147-9563,36274533
0147-9563,36272221
0147-9563,36270239
0147-9563,36265372
0147-9563,36265371
0147-9563,36257218
0147-9563,36244090
0147-9563,36243584
0147-9563,36242825
0147-9563,36242824
0147-9563,36228538
0147-9563,36219922
0147-9563,36219921
0147-9563,36209724
0147-9563,36202643
0147-9563,36201925
0147-9563,36201924
0147-9563,36194947
0147-9563,36192240
0147-9563,36183629
0147-9563,36182862
0147-9563,36182861
0147-9563,36167745
0147-9563,36163208
0147-9563,36163207
0147-9563,36153286
0147-9563,36127166
0147-9563,36126425
0147-9563,36114061
0147-9563,36088681
0147-9563,36085252
0147-9563,36084400
0147-9563,36084399
0147-9563,36084398
0147-9563,36084397
0147-9563,36081180
0147-9563,36075786
0147-9563,36058742
0147-9563,36058109
0147-9563,36057474
0147-9563,36057186
0147-9563,36055808
0147-9563,36055807
0147-9563,36041346
0147-9563,36031467
0147-9563,36027738
0147-9563,36007429
0147-9563,35994805
0147-9563,35987113
0147-9563,35987112
0147-9563,35985104
0147-9563,35970018
0147-9563,35965254
0147-9563,35963661
0147-9563,35961084
0147-9563,35953311
0147-9563,35933889
0147-9563,35930914
0147-9563,35908350
0147-9563,35908349
0147-9563,35902305
0147-9563,35901604
0147-9563,35901603
0147-9563,35870959
0147-9563,35863099
0147-9563,35839546
0147-9563,35834917
0147-9563,35830781
0147-9563,35811170
0147-9563,35810678
0147-9563,35810677
0147-9563,35810676
0147-9563,35809406
0147-9563,35792344
0147-9563,35780572
0147-9563,35780571
0147-9563,35753119
0147-9563,35715243
0147-9563,35709645
0147-9563,35709644
0147-9563,35687923
0147-9563,35649308
0147-9563,35649307
0147-9563,35618602
0147-9563,35598421
0147-9563,35414441
0147-9563,35210095
0730-7659,37496210
0730-7659,37485759
0730-7659,37485609
0730-7659,37475194
0730-7659,37455498
0730-7659,37455440
0730-7659,37449767
0730-7659,37435951
0730-7659,37435935
0730-7659,37434333
0730-7659,37431957
0730-7659,37401365
0730-7659,37395480
0730-7659,37382211
0730-7659,37367697
0730-7659,37347706
0730-7659,37326307
0730-7659,37300301
0730-7659,37269067
0730-7659,37261779
0730-7659,37256263
0730-7659,37247256
0730-7659,37192171
0730-7659,37088917
0730-7659,37088910
0730-7659,37060205
0730-7659,37036323
0730-7659,36945902
0730-7659,36939837
0730-7659,36939318
0730-7659,36939290
0730-7659,36896922
0730-7659,36877622
0730-7659,36825853
0730-7659,36807551
0730-7659,36774626
0730-7659,36774590
0730-7659,36774588
0730-7659,36752116
0730-7659,36696404
0730-7659,36696365
0730-7659,36639832
0730-7659,36639828
0730-7659,36625538
0730-7659,36625522
0730-7659,36625505
0730-7659,36598288
0730-7659,36576726
0730-7659,36544398
0730-7659,36537549
0730-7659,36537472
0730-7659,36529703
0730-7659,36529699
0730-7659,36468251
0730-7659,36455239
0730-7659,36408741
0730-7659,36373864
0730-7659,36370038
0730-7659,36334299
0730-7659,36332128
0730-7659,36309934
0730-7659,36265168
0730-7659,36265164
0730-7659,36198035
0730-7659,36017646
0730-7659,36005865
0730-7659,35977033
0730-7659,35906826
0730-7659,35867032
0730-7659,35802785
0730-7659,35802776
0730-7659,35790019
0730-7659,35789033
0730-7659,35737547
0730-7659,35735132
0730-7659,35698760
0730-7659,35695041
0730-7659,35670092
0730-7659,35670090
0730-7659,35652195
0730-7659,35635034
0730-7659,35608986
0730-7659,35582849
0730-7659,35561055
0730-7659,35561043
0730-7659,35554962
0730-7659,35527364
0730-7659,35502141
0730-7659,35470904
0730-7659,35460106
0730-7659,35403241
0730-7659,35396870
0730-7659,35373861
0730-7659,35365913
0730-7659,35355322
0730-7659,35352380
0730-7659,35347769
0730-7659,35343621
0730-7659,35233836
0730-7659,35233810
0309-2402,37519065
0309-2402,37518977
0309-2402,37515365
0309-2402,37515348
0309-2402,37503718
0309-2402,37501264
0309-2402,37489599
0309-2402,37489586
0309-2402,37485735
0309-2402,37485721
0309-2402,37469168
0309-2402,37464735
0309-2402,37464570
0309-2402,37461247
0309-2402,37458320
0309-2402,37458271
0309-2402,37458269
0309-2402,37458267
0309-2402,37452500
0309-2402,37449790
0309-2402,37449572
0309-2402,37449552
0309-2402,37439492
0309-2402,37438957
0309-2402,37432759
0309-2402,37431932
0309-2402,37431098
0309-2402,37427833
0309-2402,37427809
0309-2402,37424112
0309-2402,37424109
0309-2402,37417527
0309-2402,37415315
0309-2402,37415311
0309-2402,37409794
0309-2402,37408103
0309-2402,37403700
0309-2402,37403201
0309-2402,37403198
0309-2402,37401808
0309-2402,37395440
0309-2402,37395435
0309-2402,37391944
0309-2402,37391909
0309-2402,37391905
0309-2402,37386779
0309-2402,37377143
0309-2402,37377139
0309-2402,37377130
0309-2402,37376718
0309-2402,37376717
0309-2402,37376711
0309-2402,37366583
0309-2402,37358075
0309-2402,37358074
0309-2402,37358051
0309-2402,37358047
0309-2402,37358005
0309-2402,37357980
0309-2402,37357500
0309-2402,37357429
0309-2402,37357405
0309-2402,37350439
0309-2402,37350161
0309-2402,37350100
0309-2402,37350039
0309-2402,37350035
0309-2402,37350022
0309-2402,37341349
0309-2402,37334923
0309-2402,37334431
0309-2402,37332127
0309-2402,37326228
0309-2402,37314007
0309-2402,37313997
0309-2402,37313993
0309-2402,37313973
0309-2402,37309056
0309-2402,37309050
0309-2402,37308976
0309-2402,37288758
0309-2402,37283322
0309-2402,37278387
0309-2402,37278094
0309-2402,37269083
0309-2402,37259482
0309-2402,37249182
0309-2402,37248564
0309-2402,37248540
0309-2402,37243421
0309-2402,37243391
0309-2402,37243385
0309-2402,37232468
0309-2402,37232274
0309-2402,37226654
0309-2402,37226570
0309-2402,37226560
0309-2402,37212517
0309-2402,37212488
0309-2402,37211962
0309-2402,37209393
0309-2402,37209392
0309-2402,37209376
0309-2402,37209370
0309-2402,37209293
0309-2402,37209291
0309-2402,37209266
0309-2402,37209086
0309-2402,37209085
0309-2402,37204188
0309-2402,37203285
0309-2402,37199061
0309-2402,37198978
0309-2402,37198974
0309-2402,37186471
0309-2402,37170415
0309-2402,37170413
0309-2402,37165794
0309-2402,37162172
0309-2402,37161612
0309-2402,37157151
0309-2402,37151091
0309-2402,37150951
0309-2402,37139634
0309-2402,37139550
0309-2402,37129357
0309-2402,37128937
0309-2402,37113024
0309-2402,37106563
0309-2402,37089066
0309-2402,37089061
0309-2402,37077151
0309-2402,37073871
0309-2402,37073857
0309-2402,37073854
0309-2402,37070694
0309-2402,37070669
0309-2402,37066738
0309-2402,37036131
0309-2402,37029491
0309-2402,37014070
0309-2402,37005978
0309-2402,37005976
0309-2402,37002600
0309-2402,37002595
0309-2402,37002558
0309-2402,36978259
0309-2402,36978253
0309-2402,36978247
0309-2402,36978208
0309-2402,36971303
0309-2402,36971284
0309-2402,36971282
0309-2402,36971248
0309-2402,36971231
0309-2402,36971201
0309-2402,36965072
0309-2402,36959747
0309-2402,36949633
0309-2402,36946262
0309-2402,36942785
0309-2402,36942780
0309-2402,36942775
0309-2402,36938995
0309-2402,36938982
