ISSN,PMID,DOI
1474-5151,36351004,10.1093/eurjcn/zvac105
1474-5151,36346102,10.1093/eurjcn/zvac103
1474-5151,36316287,10.1093/eurjcn/zvac101
1474-5151,36289051,10.1093/eurjcn/zvac100
1474-5151,36269804,10.1093/eurjcn/zvac097
1474-5151,36257662,10.1093/eurjcn/zvac094
1474-5151,36256701,10.1093/eurjcn/zvac098
1474-5151,36219174,10.1093/eurjcn/zvac096
1474-5151,36218087,10.1093/eurjcn/zvac095
1474-5151,36201647,10.1093/eurjcn/zvac088
1474-5151,36190843,10.1093/eurjcn/zvac087
1474-5151,36173883,10.1093/eurjcn/zvac092
1474-5151,36172803,10.1093/eurjcn/zvac093
1474-5151,36149870,10.1093/eurjcn/zvac090
1474-5151,36149811,10.1093/eurjcn/zvac089
1474-5151,36131494,10.1093/eurjcn/zvac091
1474-5151,36125322,10.1093/eurjcn/zvac086
1474-5151,36125220,10.1093/eurjcn/zvac082
1474-5151,36124692,10.1093/eurjcn/zvac085
1474-5151,36099505,10.1093/eurjcn/zvac083
1474-5151,36073202,10.1093/eurjcn/zvac081
1474-5151,36062451,10.1093/eurjcn/zvac080
1474-5151,36059202,10.1093/eurjcn/zvac079
1474-5151,36031860,10.1093/eurjcn/zvac078
1474-5151,35997293,10.1093/eurjcn/zvac077
1474-5151,35989416,10.1093/eurjcn/zvac075
1474-5151,35986905,10.1093/eurjcn/zvac036
1474-5151,35983598,10.1093/eurjcn/zvac073
1474-5151,35974670,10.1093/eurjcn/zvac074
1474-5151,35950340,10.1093/eurjcn/zvac042
1474-5151,35943381,10.1093/eurjcn/zvac071
1474-5151,35938348,10.1093/eurjcn/zvac072
1474-5151,35932189,10.1093/eurjcn/zvac061
1474-5151,35917174,10.1093/eurjcn/zvac070
1474-5151,35901014,10.1093/eurjcn/zvac057
1474-5151,35895525,10.1093/eurjcn/zvac066
1474-5151,35881526,10.1093/eurjcn/zvac068
1474-5151,35881525,10.1093/eurjcn/zvac069
1474-5151,35881489,10.1093/eurjcn/zvac065
1474-5151,35869622,10.1093/eurjcn/zvac067
1474-5151,35849049,10.1093/eurjcn/zvac045
1474-5151,35816040,10.1093/eurjcn/zvac063
1474-5151,35816037,10.1093/eurjcn/zvac064
1474-5151,35816028,10.1093/eurjcn/zvac062
1474-5151,35801906,10.1093/eurjcn/zvac056
1474-5151,35766177,10.1093/eurjcn/zvac039
1474-5151,35766172,10.1093/eurjcn/zvac055
1474-5151,35737922,10.1093/eurjcn/zvac051
1474-5151,35727092,10.1093/eurjcn/zvac054
1474-5151,35714164,10.1093/eurjcn/zvac026
1474-5151,35714068,10.1093/eurjcn/zvac027
1474-5151,35714066,10.1093/eurjcn/zvac029
1474-5151,35714051,10.1093/eurjcn/zvac032
1474-5151,35714048,10.1093/eurjcn/zvac031
1474-5151,35709338,10.1093/eurjcn/zvac047
1474-5151,35709307,10.1093/eurjcn/zvac052
1474-5151,35709305,10.1093/eurjcn/zvac050
1474-5151,35672906,10.1093/eurjcn/zvac021
1474-5151,35672581,10.1093/eurjcn/zvac033
1474-5151,35672278,10.1093/eurjcn/zvac024
1474-5151,35672276,10.1093/eurjcn/zvac034
1474-5151,35670591,10.1093/eurjcn/zvac044
1474-5151,35670232,10.1093/eurjcn/zvac041
1474-5151,35670199,10.1093/eurjcn/zvac038
1474-5151,35670198,10.1093/eurjcn/zvac037
1474-5151,35670158,10.1093/eurjcn/zvac043
1474-5151,35670151,10.1093/eurjcn/zvac049
1474-5151,35670143,10.1093/eurjcn/zvac046
1474-5151,35574942,10.1093/eurjcn/zvac040
1474-5151,35553670,10.1093/eurjcn/zvac028
1474-5151,35543021,10.1093/eurjcn/zvac030
1474-5151,35534944,10.1093/eurjcn/zvac017
1474-5151,35404418,10.1093/eurjcn/zvac019
1474-5151,35404414,10.1093/eurjcn/zvac022
1474-5151,35404401,10.1093/eurjcn/zvac018
1474-5151,35292823,10.1093/eurjcn/zvac016
1474-5151,35290454,10.1093/eurjcn/zvac013
1474-5151,35285897,10.1093/eurjcn/zvac015
1474-5151,35259240,10.1093/eurjcn/zvac014
1474-5151,35234858,10.1093/eurjcn/zvac012
1474-5151,35213702,10.1093/eurjcn/zvac010
1474-5151,34486039,10.1093/eurjcn/zvab069
0749-2081,37516624,10.1016/j.soncn.2023.151473
0749-2081,37507268,10.1016/j.soncn.2023.151472
0749-2081,37507267,10.1016/j.soncn.2023.151476
0749-2081,37500312,10.1016/j.soncn.2023.151471
0749-2081,37495448,10.1016/j.soncn.2023.151477
0749-2081,37481410,10.1016/j.soncn.2023.151474
0749-2081,37455151,10.1016/j.soncn.2023.151470
0749-2081,37419849,10.1016/j.soncn.2023.151461
0749-2081,37419848,10.1016/j.soncn.2023.151463
0749-2081,37400343,10.1016/j.soncn.2023.151464
0749-2081,37391333,10.1016/j.soncn.2023.151462
0749-2081,37385871,10.1016/j.soncn.2023.151468
0749-2081,37380520,10.1016/j.soncn.2023.151469
0749-2081,37353359,10.1016/j.soncn.2023.151465
0749-2081,37336680,10.1016/j.soncn.2023.151453
0749-2081,37331879,10.1016/j.soncn.2023.151452
0749-2081,37271659,10.1016/j.soncn.2023.151444
0749-2081,37246015,10.1016/j.soncn.2023.151449
0749-2081,37217435,10.1016/j.soncn.2023.151451
0749-2081,37210226,10.1016/j.soncn.2023.151450
0749-2081,37188584,10.1016/j.soncn.2023.151440
0749-2081,37183104,10.1016/j.soncn.2023.151448
0749-2081,37183103,10.1016/j.soncn.2023.151446
0749-2081,37179177,10.1016/j.soncn.2023.151445
0749-2081,37179176,10.1016/j.soncn.2023.151438
0749-2081,37179175,10.1016/j.soncn.2023.151447
0749-2081,37173235,10.1016/j.soncn.2023.151443
0749-2081,37173234,10.1016/j.soncn.2023.151442
0749-2081,37164885,10.1016/j.soncn.2023.151431
0749-2081,37149440,10.1016/j.soncn.2023.151432
0749-2081,37149439,10.1016/j.soncn.2023.151441
0749-2081,37149438,10.1016/j.soncn.2023.151437
0749-2081,37147152,10.1016/j.soncn.2023.151426
0749-2081,37147151,10.1016/j.soncn.2023.151434
0749-2081,37142468,10.1016/j.soncn.2023.151439
0749-2081,37137770,10.1016/j.soncn.2023.151433
0749-2081,37137769,10.1016/j.soncn.2023.151430
0749-2081,37137768,10.1016/j.soncn.2023.151436
0749-2081,37127520,10.1016/j.soncn.2023.151435
0749-2081,37100635,10.1016/j.soncn.2023.151424
0749-2081,37085405,10.1016/j.soncn.2023.151429
0749-2081,37085404,10.1016/j.soncn.2023.151428
0749-2081,37069011,10.1016/j.soncn.2023.151427
0749-2081,37061361,10.1016/j.soncn.2023.151419
0749-2081,37055297,10.1016/j.soncn.2023.151425
0749-2081,37055296,10.1016/j.soncn.2023.151423
0749-2081,37045645,10.1016/j.soncn.2023.151418
0749-2081,37045644,10.1016/j.soncn.2023.151408
0749-2081,37037701,10.1016/j.soncn.2023.151420
0749-2081,37024322,10.1016/j.soncn.2023.151407
0749-2081,37012164,10.1016/j.soncn.2023.151409
0749-2081,36966061,10.1016/j.soncn.2023.151406
0749-2081,36935333,10.1016/j.soncn.2023.151405
0749-2081,36933993,10.1016/j.soncn.2023.151402
0749-2081,36925317,10.1016/j.soncn.2023.151404
0749-2081,36898936,10.1016/j.soncn.2023.151401
0749-2081,36894449,10.1016/j.soncn.2023.151403
0749-2081,36894448,10.1016/j.soncn.2023.151399
0749-2081,36882334,10.1016/j.soncn.2023.151400
0749-2081,36868925,10.1016/j.soncn.2023.151398
0749-2081,36849310,10.1016/j.soncn.2023.151396
0749-2081,36841679,10.1016/j.soncn.2023.151395
0749-2081,36813627,10.1016/j.soncn.2023.151397
0749-2081,36759297,10.1016/j.soncn.2023.151394
0749-2081,36621414,10.1016/j.soncn.2022.151361
0749-2081,36509609,10.1016/j.soncn.2022.151378
0749-2081,36494260,10.1016/j.soncn.2022.151368
0749-2081,36443126,10.1016/j.soncn.2022.151364
0749-2081,36435657,10.1016/j.soncn.2022.151353
0749-2081,36428190,10.1016/j.soncn.2022.151365
0749-2081,36424249,10.1016/j.soncn.2022.151360
0749-2081,36424248,10.1016/j.soncn.2022.151369
0749-2081,36414522,10.1016/j.soncn.2022.151363
0749-2081,36414521,10.1016/j.soncn.2022.151362
0749-2081,36411125,10.1016/j.soncn.2022.151359
0749-2081,36411124,10.1016/j.soncn.2022.151367
0749-2081,36411123,10.1016/j.soncn.2022.151366
0749-2081,36379818,10.1016/j.soncn.2022.151354
0749-2081,36379817,10.1016/j.soncn.2022.151355
0749-2081,36379816,10.1016/j.soncn.2022.151356
0749-2081,36280540,10.1016/j.soncn.2022.151341
0749-2081,36270864,10.1016/j.soncn.2022.151338
0749-2081,36253304,10.1016/j.soncn.2022.151352
0749-2081,36244886,10.1016/j.soncn.2022.151342
0749-2081,36244885,10.1016/j.soncn.2022.151351
0749-2081,36156261,10.1016/j.soncn.2022.151339
0749-2081,35902337,10.1016/j.soncn.2022.151316
0749-2081,35879186,10.1016/j.soncn.2022.151315
0749-2081,35871026,10.1016/j.soncn.2022.151317
1471-5953,37523997,10.1016/j.nepr.2023.103719
1471-5953,37517231,10.1016/j.nepr.2023.103728
1471-5953,37517230,10.1016/j.nepr.2023.103731
1471-5953,37506426,10.1016/j.nepr.2023.103729
1471-5953,37499536,10.1016/j.nepr.2023.103721
1471-5953,37499535,10.1016/j.nepr.2023.103726
1471-5953,37499534,10.1016/j.nepr.2023.103730
1471-5953,37480736,10.1016/j.nepr.2023.103727
1471-5953,37478586,10.1016/j.nepr.2023.103713
1471-5953,37468382,10.1016/j.nepr.2023.103725
1471-5953,37467601,10.1016/j.nepr.2023.103711
1471-5953,37467600,10.1016/j.nepr.2023.103722
1471-5953,37454478,10.1016/j.nepr.2023.103691
1471-5953,37453370,10.1016/j.nepr.2023.103696
1471-5953,37453369,10.1016/j.nepr.2023.103717
1471-5953,37453368,10.1016/j.nepr.2023.103694
1471-5953,37451168,10.1016/j.nepr.2023.103720
1471-5953,37451167,10.1016/j.nepr.2023.103724
1471-5953,37451166,10.1016/j.nepr.2023.103718
1471-5953,37441919,10.1016/j.nepr.2023.103686
1471-5953,37441918,10.1016/j.nepr.2023.103699
1471-5953,37441917,10.1016/j.nepr.2023.103712
1471-5953,37441916,10.1016/j.nepr.2023.103716
1471-5953,37437514,10.1016/j.nepr.2023.103715
1471-5953,37437513,10.1016/j.nepr.2023.103697
1471-5953,37433234,10.1016/j.nepr.2023.103683
1471-5953,37429221,10.1016/j.nepr.2023.103693
1471-5953,37429220,10.1016/j.nepr.2023.103695
1471-5953,37429219,10.1016/j.nepr.2023.103690
1471-5953,37422340,10.1016/j.nepr.2023.103698
1471-5953,37413741,10.1016/j.nepr.2023.103685
1471-5953,37413740,10.1016/j.nepr.2023.103678
1471-5953,37393687,10.1016/j.nepr.2023.103689
1471-5953,37385208,10.1016/j.nepr.2023.103687
1471-5953,37379698,10.1016/j.nepr.2023.103688
1471-5953,37379697,10.1016/j.nepr.2023.103684
1471-5953,37379696,10.1016/j.nepr.2023.103692
1471-5953,37356335,10.1016/j.nepr.2023.103682
1471-5953,37354693,10.1016/j.nepr.2023.103680
1471-5953,37331029,10.1016/j.nepr.2023.103679
1471-5953,37331028,10.1016/j.nepr.2023.103681
1471-5953,37329827,10.1016/j.nepr.2023.103675
1471-5953,37328308,10.1016/j.nepr.2023.103673
1471-5953,37321889,10.1016/j.nepr.2023.103672
1471-5953,37311292,10.1016/j.nepr.2023.103674
1471-5953,37302353,10.1016/j.nepr.2023.103677
1471-5953,37276776,10.1016/j.nepr.2023.103676
1471-5953,37262984,10.1016/j.nepr.2023.103670
1471-5953,37253288,10.1016/j.nepr.2023.103667
1471-5953,37247565,10.1016/j.nepr.2023.103668
1471-5953,37245347,10.1016/j.nepr.2023.103671
1471-5953,37216793,10.1016/j.nepr.2023.103646
1471-5953,37211006,10.1016/j.nepr.2023.103669
1471-5953,37207376,10.1016/j.nepr.2023.103657
1471-5953,37201266,10.1016/j.nepr.2023.103658
1471-5953,37201265,10.1016/j.nepr.2023.103659
1471-5953,37201264,10.1016/j.nepr.2023.103656
1471-5953,37178479,10.1016/j.nepr.2023.103660
1471-5953,37167800,10.1016/j.nepr.2023.103655
1471-5953,37167799,10.1016/j.nepr.2023.103653
1471-5953,37148845,10.1016/j.nepr.2023.103640
1471-5953,37148844,10.1016/j.nepr.2023.103652
1471-5953,37146479,10.1016/j.nepr.2023.103654
1471-5953,37146478,10.1016/j.nepr.2023.103649
1471-5953,37130505,10.1016/j.nepr.2023.103651
1471-5953,37121027,10.1016/j.nepr.2023.103648
1471-5953,37121026,10.1016/j.nepr.2023.103647
1471-5953,37119757,10.1016/j.nepr.2023.103650
1471-5953,37104926,10.1016/j.nepr.2023.103638
1471-5953,37100027,10.1016/j.nepr.2023.103645
1471-5953,37100026,10.1016/j.nepr.2023.103636
1471-5953,37094453,10.1016/j.nepr.2023.103642
1471-5953,37094434,10.1016/j.nepr.2023.103634
1471-5953,37087949,10.1016/j.nepr.2023.103612
1471-5953,37062123,10.1016/j.nepr.2023.103637
1471-5953,37060735,10.1016/j.nepr.2023.103635
1471-5953,37060734,10.1016/j.nepr.2023.103639
1471-5953,37060733,10.1016/j.nepr.2023.103643
1471-5953,37060732,10.1016/j.nepr.2023.103641
1471-5953,37058995,10.1016/j.nepr.2023.103644
1471-5953,37054488,10.1016/j.nepr.2023.103622
1471-5953,37028224,10.1016/j.nepr.2023.103605
1471-5953,37023523,10.1016/j.nepr.2023.103618
1471-5953,37018998,10.1016/j.nepr.2023.103627
1471-5953,37018997,10.1016/j.nepr.2023.103624
1471-5953,37004470,10.1016/j.nepr.2023.103625
1471-5953,37002995,10.1016/j.nepr.2023.103611
1471-5953,37002994,10.1016/j.nepr.2023.103623
1471-5953,37002993,10.1016/j.nepr.2023.103626
1471-5953,37002992,10.1016/j.nepr.2023.103610
1471-5953,37002991,10.1016/j.nepr.2023.103614
1471-5953,37001238,10.1016/j.nepr.2023.103615
1471-5953,37001237,10.1016/j.nepr.2023.103621
1471-5953,36996556,10.1016/j.nepr.2023.103583
1471-5953,36996555,10.1016/j.nepr.2023.103597
1471-5953,36996554,10.1016/j.nepr.2023.103609
1471-5953,36996553,10.1016/j.nepr.2023.103616
1471-5953,36996552,10.1016/j.nepr.2023.103617
1471-5953,36996551,10.1016/j.nepr.2023.103613
1471-5953,36989698,10.1016/j.nepr.2023.103606
1471-5953,36966670,10.1016/j.nepr.2023.103619
1471-5953,36948127,10.1016/j.nepr.2023.103584
1471-5953,36940561,10.1016/j.nepr.2023.103608
1471-5953,36924666,10.1016/j.nepr.2023.103607
1471-5953,36924665,10.1016/j.nepr.2023.103603
1471-5953,36924664,10.1016/j.nepr.2023.103604
1471-5953,36921409,10.1016/j.nepr.2023.103601
1471-5953,36921408,10.1016/j.nepr.2023.103602
1471-5953,36906948,10.1016/j.nepr.2023.103598
1471-5953,36906947,10.1016/j.nepr.2023.103600
1471-5953,36898252,10.1016/j.nepr.2023.103599
1471-5953,36889169,10.1016/j.nepr.2023.103592
1471-5953,36889168,10.1016/j.nepr.2023.103594
1471-5953,36889167,10.1016/j.nepr.2023.103589
1471-5953,36889166,10.1016/j.nepr.2023.103596
1471-5953,36889165,10.1016/j.nepr.2023.103595
1471-5953,36871388,10.1016/j.nepr.2023.103591
1471-5953,36871387,10.1016/j.nepr.2023.103593
1471-5953,36870226,10.1016/j.nepr.2023.103590
1471-5953,36868161,10.1016/j.nepr.2023.103588
1471-5953,36868160,10.1016/j.nepr.2023.103586
1471-5953,36868159,10.1016/j.nepr.2023.103585
1471-5953,36842294,10.1016/j.nepr.2023.103587
1471-5953,36822015,10.1016/j.nepr.2023.103569
1471-5953,36806349,10.1016/j.nepr.2023.103566
1471-5953,36796236,10.1016/j.nepr.2023.103564
1471-5953,36774702,10.1016/j.nepr.2023.103570
1471-5953,36758445,10.1016/j.nepr.2023.103567
1471-5953,36758264,10.1016/j.nepr.2023.103563
1471-5953,36754768,10.1016/j.nepr.2023.103572
1471-5953,36753778,10.1016/j.nepr.2023.103568
1471-5953,36753777,10.1016/j.nepr.2023.103571
1471-5953,36739736,10.1016/j.nepr.2023.103546
1471-5953,36738528,10.1016/j.nepr.2023.103561
1471-5953,36738527,10.1016/j.nepr.2023.103558
1471-5953,36738526,10.1016/j.nepr.2023.103556
1471-5953,36736180,10.1016/j.nepr.2023.103562
1471-5953,36736179,10.1016/j.nepr.2023.103555
1471-5953,36731259,10.1016/j.nepr.2023.103560
1471-5953,36731258,10.1016/j.nepr.2023.103565
1471-5953,36709660,10.1016/j.nepr.2023.103550
1471-5953,36709659,10.1016/j.nepr.2023.103557
1471-5953,36708639,10.1016/j.nepr.2023.103554
1471-5953,36708638,10.1016/j.nepr.2023.103548
1471-5953,36682321,10.1016/j.nepr.2023.103559
1471-5953,36680927,10.1016/j.nepr.2023.103551
1471-5953,36669296,10.1016/j.nepr.2023.103552
1471-5953,36669295,10.1016/j.nepr.2023.103547
1471-5953,36657318,10.1016/j.nepr.2023.103553
1471-5953,36642012,10.1016/j.nepr.2023.103549
1471-5953,36628886,10.1016/j.nepr.2022.103531
1471-5953,36610859,10.1016/j.nepr.2022.103514
1471-5953,36580700,10.1016/j.nepr.2022.103536
1471-5953,36577259,10.1016/j.nepr.2022.103538
1471-5953,36563599,10.1016/j.nepr.2022.103532
1471-5953,36563598,10.1016/j.nepr.2022.103534
1471-5953,36549229,10.1016/j.nepr.2022.103537
1471-5953,36542935,10.1016/j.nepr.2022.103535
1471-5953,36516640,10.1016/j.nepr.2022.103533
1471-5953,36495616,10.1016/j.nepr.2022.103520
1471-5953,36481498,10.1016/j.nepr.2022.103518
1471-5953,36481497,10.1016/j.nepr.2022.103517
1471-5953,36481496,10.1016/j.nepr.2022.103515
1471-5953,36463734,10.1016/j.nepr.2022.103513
1471-5953,36463733,10.1016/j.nepr.2022.103512
1471-5953,36462276,10.1016/j.nepr.2022.103502
1471-5953,36462275,10.1016/j.nepr.2022.103505
1471-5953,36462274,10.1016/j.nepr.2022.103530
1471-5953,36462273,10.1016/j.nepr.2022.103510
1471-5953,36459875,10.1016/j.nepr.2022.103516
1471-5953,36446209,10.1016/j.nepr.2022.103503
1471-5953,36442392,10.1016/j.nepr.2022.103519
1471-5953,36442391,10.1016/j.nepr.2022.103509
1471-5953,36434922,10.1016/j.nepr.2022.103508
1471-5953,36434921,10.1016/j.nepr.2022.103511
1471-5953,36423422,10.1016/j.nepr.2022.103504
1471-5953,36410133,10.1016/j.nepr.2022.103507
1471-5953,36401995,10.1016/j.nepr.2022.103493
1471-5953,36401994,10.1016/j.nepr.2022.103506
1471-5953,36395706,10.1016/j.nepr.2022.103500
1471-5953,36375443,10.1016/j.nepr.2022.103501
1471-5953,36375442,10.1016/j.nepr.2022.103499
1471-5953,36375441,10.1016/j.nepr.2022.103494
1471-5953,36371878,10.1016/j.nepr.2022.103486
1471-5953,36368291,10.1016/j.nepr.2022.103490
1471-5953,36356324,10.1016/j.nepr.2022.103476
1471-5953,36356323,10.1016/j.nepr.2022.103495
1471-5953,36356322,10.1016/j.nepr.2022.103491
1471-5953,36356321,10.1016/j.nepr.2022.103487
1471-5953,36347138,10.1016/j.nepr.2022.103497
1471-5953,36347137,10.1016/j.nepr.2022.103498
1471-5953,36343526,10.1016/j.nepr.2022.103489
1471-5953,36335881,10.1016/j.nepr.2022.103496
1471-5953,36334523,10.1016/j.nepr.2022.103485
1471-5953,36334522,10.1016/j.nepr.2022.103484
1471-5953,36334521,10.1016/j.nepr.2022.103488
1471-5953,36332490,10.1016/j.nepr.2022.103492
1471-5953,36327597,10.1016/j.nepr.2022.103480
1471-5953,36327596,10.1016/j.nepr.2022.103483
1471-5953,36327595,10.1016/j.nepr.2022.103478
1471-5953,36327594,10.1016/j.nepr.2022.103481
1471-5953,36327593,10.1016/j.nepr.2022.103479
1471-5953,36327592,10.1016/j.nepr.2022.103477
1471-5953,36327591,10.1016/j.nepr.2022.103475
1471-5953,36327590,10.1016/j.nepr.2022.103482
1471-5953,36306649,10.1016/j.nepr.2022.103462
1471-5953,36272364,10.1016/j.nepr.2022.103466
1471-5953,36270052,10.1016/j.nepr.2022.103461
1471-5953,36265433,10.1016/j.nepr.2022.103465
1471-5953,36265432,10.1016/j.nepr.2022.103463
1471-5953,36265431,10.1016/j.nepr.2022.103464
1471-5953,36244315,10.1016/j.nepr.2022.103460
0020-8132,37486866,10.1111/inr.12865
0020-8132,37467162,10.1111/inr.12861
0020-8132,37466051,10.1111/inr.12864
0020-8132,37463664,10.1111/inr.12862
0020-8132,37449528,10.1111/inr.12863
0020-8132,37401926,10.1111/inr.12860
0020-8132,37401925,10.1111/inr.12859
0020-8132,37401513,10.1111/inr.12857
0020-8132,37392463,10.1111/inr.12858
0020-8132,37335580,10.1111/inr.12852
0020-8132,37302103,10.1111/inr.12856
0020-8132,37300543,10.1111/inr.12851
0020-8132,37216667,10.1111/inr.12848
0020-8132,37216665,10.1111/inr.12850
0020-8132,37216655,10.1111/inr.12849
0020-8132,37162195,10.1111/inr.12846
0020-8132,37134261,10.1111/inr.12847
0020-8132,37079658,10.1111/inr.12842
0020-8132,37071893,10.1111/inr.12845
0020-8132,37060544,10.1111/inr.12844
0020-8132,37029778,10.1111/inr.12836
0020-8132,37000679,10.1111/inr.12838
0020-8132,37000673,10.1111/inr.12839
0020-8132,37000668,10.1111/inr.12837
0020-8132,36974885,10.1111/inr.12835
0020-8132,36970943,10.1111/inr.12840
0020-8132,36897498,10.1111/inr.12834
0020-8132,36877641,10.1111/inr.12833
0020-8132,36867657,10.1111/inr.12832
0020-8132,36735939,10.1111/inr.12821
0020-8132,36719263,10.1111/inr.12829
0020-8132,36708510,10.1111/inr.12827
0020-8132,36696268,10.1111/inr.12830
0020-8132,36696254,10.1111/inr.12831
0020-8132,36657108,10.1111/inr.12828
0020-8132,36649537,10.1111/inr.12825
0020-8132,36646079,10.1111/inr.12826
0020-8132,36639928,10.1111/inr.12820
0020-8132,36634255,10.1111/inr.12818
0020-8132,36597558,10.1111/inr.12816
0020-8132,36583960,10.1111/inr.12819
0020-8132,36580398,10.1111/inr.12824
0020-8132,36580395,10.1111/inr.12822
0020-8132,36580381,10.1111/inr.12814
0020-8132,36580069,10.1111/inr.12812
0020-8132,36571833,10.1111/inr.12823
0020-8132,36548195,10.1111/inr.12815
0020-8132,36528895,10.1111/inr.12813
0020-8132,36528889,10.1111/inr.12817
0020-8132,36515574,10.1111/inr.12811
0020-8132,36418147,10.1111/inr.12808
0020-8132,36409288,10.1111/inr.12810
0020-8132,36274192,10.1111/inr.12805
0020-8132,36271824,10.1111/inr.12807
0020-8132,36257630,10.1111/inr.12809
0020-8132,36205604,10.1111/inr.12803
0020-8132,36200981,10.1111/inr.12804
0020-8132,36190769,10.1111/inr.12802
0020-8132,36018881,10.1111/inr.12801
0020-8132,35976744,10.1111/inr.12793
0020-8132,35962469,10.1111/inr.12797
0020-8132,35947610,10.1111/inr.12795
0020-8132,35947607,10.1111/inr.12798
0020-8132,35947586,10.1111/inr.12794
0020-8132,35895978,10.1111/inr.12791
0020-8132,35879822,10.1111/inr.12792
0020-8132,35852179,10.1111/inr.12786
0020-8132,35838326,10.1111/inr.12789
0020-8132,35817044,10.1111/inr.12785
0020-8132,35775835,10.1111/inr.12761
0020-8132,35768893,10.1111/inr.12783
0020-8132,35763841,10.1111/inr.12784
0020-8132,35689833,10.1111/inr.12764
0020-8132,35667002,10.1111/inr.12767
0020-8132,35654047,10.1111/inr.12762
0020-8132,35639607,10.1111/inr.12775
0020-8132,35639606,10.1111/inr.12774
0020-8132,35639566,10.1111/inr.12770
0020-8132,35635838,10.1111/inr.12771
0020-8132,35481597,10.1111/inr.12758
0020-8132,35460265,10.1111/inr.12756
0020-8132,35413132,10.1111/inr.12754
0020-8132,35397177,10.1111/inr.12755
0020-8132,35305265,10.1111/inr.12753
0020-8132,35167710,10.1111/inr.12750
0020-8132,35152436,10.1111/inr.12751
0020-8132,35113456,10.1111/inr.12749
0020-8132,35107837,10.1111/inr.12746
0020-8132,35107171,10.1111/inr.12748
0020-8132,35088426,10.1111/inr.12747
0020-8132,35060121,10.1111/inr.12744
0965-206X,37495442,10.1016/j.jtv.2023.07.004
0965-206X,37487917,10.1016/j.jtv.2023.07.003
0965-206X,37482507,10.1016/j.jtv.2023.07.002
0965-206X,37451973,10.1016/j.jtv.2023.06.002
0965-206X,37442720,10.1016/j.jtv.2023.06.008
0965-206X,37423836,10.1016/j.jtv.2023.06.009
0965-206X,37414709,10.1016/j.jtv.2023.06.010
0965-206X,37414708,10.1016/j.jtv.2023.07.001
0965-206X,37414707,10.1016/j.jtv.2023.06.011
0965-206X,37407387,10.1016/j.jtv.2023.06.006
0965-206X,37385873,10.1016/j.jtv.2023.06.007
0965-206X,37369610,10.1016/j.jtv.2023.06.001
0965-206X,37365119,10.1016/j.jtv.2023.06.004
0965-206X,37349230,10.1016/j.jtv.2023.06.003
0965-206X,37349229,10.1016/j.jtv.2023.06.005
0965-206X,37268490,10.1016/j.jtv.2023.05.007
0965-206X,37263818,10.1016/j.jtv.2023.05.008
0965-206X,37263817,10.1016/j.jtv.2023.05.006
0965-206X,37258335,10.1016/j.jtv.2023.05.005
0965-206X,37258334,10.1016/j.jtv.2023.05.004
0965-206X,37246018,10.1016/j.jtv.2023.05.003
0965-206X,37198049,10.1016/j.jtv.2023.05.002
0965-206X,37164904,10.1016/j.jtv.2023.05.001
0965-206X,37150650,10.1016/j.jtv.2023.04.009
0965-206X,37149433,10.1016/j.jtv.2023.04.003
0965-206X,37147205,10.1016/j.jtv.2023.04.006
0965-206X,37130768,10.1016/j.jtv.2023.04.004
0965-206X,37127485,10.1016/j.jtv.2023.04.008
0965-206X,37127484,10.1016/j.jtv.2023.04.007
0965-206X,37117126,10.1016/j.jtv.2023.04.005
0965-206X,37055299,10.1016/j.jtv.2023.04.001
0965-206X,37037689,10.1016/j.jtv.2023.04.002
0965-206X,37032305,10.1016/j.jtv.2023.03.004
0965-206X,37032304,10.1016/j.jtv.2023.03.002
0965-206X,37031036,10.1016/j.jtv.2023.03.005
0965-206X,37012120,10.1016/j.jtv.2023.03.003
0965-206X,36997467,10.1016/j.jtv.2023.02.005
0965-206X,36990897,10.1016/j.jtv.2023.03.001
0965-206X,36894461,10.1016/j.jtv.2023.02.008
0965-206X,36878737,10.1016/j.jtv.2023.02.003
0965-206X,36841714,10.1016/j.jtv.2023.02.009
0965-206X,36813598,10.1016/j.jtv.2023.02.007
0965-206X,36803882,10.1016/j.jtv.2023.02.006
0965-206X,36803881,10.1016/j.jtv.2023.02.002
0965-206X,36801121,10.1016/j.jtv.2023.02.004
0965-206X,36797173,10.1016/j.jtv.2023.01.011
0965-206X,36792441,10.1016/j.jtv.2023.02.001
0965-206X,36732157,10.1016/j.jtv.2023.01.009
0965-206X,36725463,10.1016/j.jtv.2023.01.010
0965-206X,36717288,10.1016/j.jtv.2023.01.007
0965-206X,36709099,10.1016/j.jtv.2023.01.008
0965-206X,36681617,10.1016/j.jtv.2023.01.001
0965-206X,36658004,10.1016/j.jtv.2023.01.006
0965-206X,36658003,10.1016/j.jtv.2023.01.002
0965-206X,36642670,10.1016/j.jtv.2023.01.004
0965-206X,36641346,10.1016/j.jtv.2023.01.005
0965-206X,36639257,10.1016/j.jtv.2023.01.003
0965-206X,36599729,10.1016/j.jtv.2022.12.007
0965-206X,36586765,10.1016/j.jtv.2022.12.005
0965-206X,36577638,10.1016/j.jtv.2022.11.006
0965-206X,36564255,10.1016/j.jtv.2022.12.006
0965-206X,36543636,10.1016/j.jtv.2022.12.004
0965-206X,36535811,10.1016/j.jtv.2022.12.003
0965-206X,36529583,10.1016/j.jtv.2022.12.002
