Journal Name;JCR Abbreviation;ISSN;eISSN;Category;Total Citations;2021 JIF;JIF Quartile;2021 JCI;% of OA Gold;Instruction to Author;AI/ChatGPT (Searched on 10-11 May 2023);
Gastroenterology Nursing;GASTROENTEROL NURS;1042-895X;1538-9766;NURSING - SCIE;631;1.159;Q4;0.33;4.76%;https://edmgr.ovid.com/gnj/accounts/ifauth.htm;Yes;Authors who use artificial intelligence (AI) tools in the writing of a manuscript, production of images or graphical elements of the paper, or in the collection and analysis of data, must be transparent in disclosing in the Materials and Methods (or similar section) of the paper how the AI tool was used, and which tool was used. Authors are fully responsible for the content of their manuscript, even those parts produced by an AI tool, and are thus liable for any breach of publication ethics.
International Journal of Nursing Knowledge;INT J NURS KNOWL;2047-3087;2047-3095;NURSING - SCIE;376;1.150;Q4;0.67;2.61%;https://onlinelibrary.wiley.com/page/journal/20473095/homepage/forauthors.html;No;
Clinical Nurse Specialist;CLIN NURSE SPEC;0887-6274;1538-9782;NURSING - SCIE;749;1.143;Q4;0.51;0.00%;https://edmgr.ovid.com/cns/accounts/ifauth.htm;No;
Revista da Escola de Enfermagem da USP;REV ESC ENFERM USP;0080-6234;1980-220X;NURSING - SCIE;2,237;1.123;Q4;0.43;94.25%;https://www.scielo.br/journal/reeusp/about/#instructions;No;
JOURNAL OF CONTINUING EDUCATION IN NURSING;J CONTIN EDUC NURS;0022-0124;1938-2472;NURSING - SCIE;1,412;1.071;Q4;0.57;2.40%;https://journals.healio.com/journal/jcen/submit-an-article#Authors;No;
Acta Paulista de Enfermagem;ACTA PAUL ENFERM;0103-2100;1982-0194;NURSING - SCIE;1,113;1.027;Q4;0.36;80.89%;https://acta-ape.org/en/preparing-a-manuscript-for-submission/;No;
Orthopaedic Nursing;ORTHOP NURS;0744-6020;1542-538X;NURSING - SCIE;732;0.988;Q4;0.33;4.07%;https://edmgr.ovid.com/onj/accounts/ifauth.htm;No;
Journal of Addictions Nursing;J ADDICT NURS;1088-4602;1548-7148;NURSING - SCIE;433;0.971;Q4;0.45;2.88%;https://journals.lww.com/jan/Pages/informationforauthors.aspx;No;
Journal of Community Health Nursing;J COMMUN HEALTH NURS;0737-0016;1532-7655;NURSING - SCIE;467;0.951;Q4;0.59;3.17%;https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hchn20;No;
Journal of Trauma Nursing;J TRAUMA NURS;1078-7496;1932-3883;NURSING - SCIE;641;0.915;Q4;0.31;2.74%;https://journals.lww.com/journaloftraumanursing/Pages/Information-for-Authors.aspx;Yes;Acknowledge artificial intelligence (AI) technology use in the acknowledgment section of the title page.
Nephrology Nursing Journal;NEPHROL NURS J;1526-744X;2163-5390;NURSING - SCIE;602;0.882;Q4;0.36;0.00%;https://www.annanurse.org/sites/default/files/2023-02/nnjGuidelines_0.pdf;No;
NURSING SCIENCE QUARTERLY;NURS SCI QUART;0894-3184;1552-7409;NURSING - SCIE;977;0.833;Q4;0.45;0.64%;https://journals.sagepub.com/author-instructions/NSQ;No;
AORN JOURNAL;AORN J;0001-2092;1878-0369;NURSING - SCIE;1,733;0.831;Q4;0.34;0.00%;https://aornjournal.onlinelibrary.wiley.com/page/journal/18780369/homepage/forauthors.html;No;
JNP- The Journal for Nurse Practitioners;JNP-J NURSE PRACT;1555-4155;1878-058X;NURSING - SCIE;1,101;0.826;Q4;0.43;2.47%;https://www.npjournal.org/content/authorinfo;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Assistenza Infermieristica e Ricerca;ASSIST INFERM RIC;1592-5986;2038-1778;NURSING - SCIE;130;0.756;Q4;0.46;0.00%;https://www.air-online.it/presentazione/;No;
Research and Theory for Nursing Practice;RES THEOR NURS PRACT;1541-6577;1945-7286;NURSING - SCIE;497;0.745;Q4;0.32;0.00%;https://connect.springerpub.com/sites/default/files/Author%20Guidelines/RTNP-Author-Guidelines_2023.pdf;No;
Bariatric Surgical Practice and Patient Care;BARIATR SURG PRACT P;2168-023X;2168-0248;NURSING - SCIE;140;0.368;Q4;0.15;2.33%;https://home.liebertpub.com/authors/writing-guidelines/151#;No;
